categoria_patron,sesgo_psicologico,n,soporte,confianza_patron_a_sesgo,confianza_sesgo_a_patron,lift
Near_Miss,Efecto_Zeigarnik,1,0.05263157894736842,1.0,1.0,19.000000000000004
Playing_by_Appointment,Formacion_Habitos,1,0.05263157894736842,1.0,1.0,19.000000000000004
Preselection,Sesgo_Status_Quo,1,0.05263157894736842,1.0,1.0,19.000000000000004
Price_Anchoring,Efecto_Anclaje,1,0.05263157894736842,1.0,1.0,19.000000000000004
Social_Proof,Efecto_Arrastre_(Bandwagon),1,0.05263157894736842,1.0,1.0,19.000000000000004
Time_Obstruction,Disociacion_Temporal,1,0.05263157894736842,1.0,1.0,19.000000000000004
Currency_Confusion,Disociacion_Financiera,2,0.10526315789473684,1.0,1.0,9.500000000000002
False_Urgency,Aversion_a_la_Perdida,1,0.05263157894736842,0.5,1.0,9.500000000000002
False_Urgency,Escasez,1,0.05263157894736842,0.5,1.0,9.500000000000002
Nagging,FOMO,1,0.05263157894736842,0.5,1.0,9.500000000000002
Nagging,Sobrecarga_Cognitiva,1,0.05263157894736842,0.5,1.0,9.500000000000002
Sunk_Cost,Falacia_Coste_Hundido,3,0.15789473684210525,1.0,1.0,6.333333333333334
Reward_Manipulation,Refuerzo_Intermitente,4,0.21052631578947367,1.0,1.0,4.750000000000001
